Director (1),AVERAGE of Box Office Revenue ($),AVERAGE of Budget ($),Average Profit
Peter Jackson,"$956,000,000.00","$250,000,000.00","$706,000,000.00"
Bill Condon,"$829,700,000.00","$120,000,000.00","$709,700,000.00"
Tim Miller,"$782,600,000.00","$58,000,000.00","$724,600,000.00"
Zack Snyder,"$770,350,000.00","$237,500,000.00","$532,850,000.00"
Marc Webb,"$757,900,000.00","$230,000,000.00","$527,900,000.00"
Eric Darnell,"$746,900,000.00","$145,000,000.00","$601,900,000.00"
Anthony Russo,"$714,400,000.00","$170,000,000.00","$544,400,000.00"
Matt Reeves,"$710,600,000.00","$235,000,000.00","$475,600,000.00"
Francis Lawrence,"$704,400,000.00","$142,500,000.00","$561,900,000.00"
Chris Renaud,"$681,500,000.00","$73,666,666.67","$607,833,333.33"
Christopher Nolan,"$675,100,000.00","$165,000,000.00","$510,100,000.00"
Bryan Singer,"$646,250,000.00","$189,000,000.00","$457,250,000.00"
Dean DeBlois,"$621,500,000.00","$145,000,000.00","$476,500,000.00"
Ang Lee,"$609,000,000.00","$120,000,000.00","$489,000,000.00"
Chris Sanders,"$587,200,000.00","$135,000,000.00","$452,200,000.00"
Steve Martino,"$561,600,000.00","$97,000,000.00","$464,600,000.00"
Stephen Chow,"$553,800,000.00","$60,720,000.00","$493,080,000.00"
Marc Forster,"$540,000,000.00","$190,000,000.00","$350,000,000.00"
Alejandro G. Iñárritu,"$533,000,000.00","$135,000,000.00","$398,000,000.00"
Gareth Edwards,"$529,000,000.00","$160,000,000.00","$369,000,000.00"
Jennifer Yuh Nelson,"$519,900,000.00","$145,000,000.00","$374,900,000.00"
Peyton Reed,"$519,400,000.00","$130,000,000.00","$389,400,000.00"
Ridley Scott,"$516,800,000.00","$119,000,000.00","$397,800,000.00"
Justin Lin,"$515,850,000.00","$172,500,000.00","$343,350,000.00"
Carlos Saldanha,"$500,100,000.00","$103,000,000.00","$397,100,000.00"
Christopher McQuarrie,"$450,300,000.00","$105,000,000.00","$345,300,000.00"
Alan Taylor,"$440,600,000.00","$155,000,000.00","$285,600,000.00"
Duncan Jones,"$433,500,000.00","$160,000,000.00","$273,500,000.00"
Genndy Tartakovsky,"$415,700,000.00","$82,500,000.00","$333,200,000.00"
James Mangold,"$414,800,000.00","$120,000,000.00","$294,800,000.00"
